id,sqft_living,price
9523100458,1380,549000
4083305870,1650,705000
263000155,1410,418000
8021701115,1560,549000
1930300410,1250,575000
3797000145,2660,765000
9525100040,2740,705000
7517500085,1770,712500
9266701085,1370,409950
2877103615,2370,870000
625049281,1030,535000
9266700256,1190,470000
9136103136,860,580000
510000641,2070,662500
3362400472,720,403000
4083301120,1440,705000
1931300175,1660,575000
5693500760,1890,570000
1529300410,870,365000
4083306705,2130,725000
2917200365,1470,445434
1930300915,1240,525000
3797000035,1150,430000
4083304700,1600,488000
1931300870,1270,355000
1930301325,2780,1025000
9266700175,880,415000
4083300620,2460,930000
9550200155,1400,887200
1257201530,1710,620000
1972201960,1500,513000
3626039268,1140,540000
9551201155,2610,925000
9530100225,1890,805000
1931300010,1170,562500
3856903495,2100,759000
4083300595,1430,650000
1972202320,1220,380000
510000050,2150,762000
9550202140,3490,1311000
2917200675,1500,340000
4340610080,800,269500
3126049415,1350,388000
4083800345,1890,620000
6431000005,1620,599995
2402100675,2050,645000
8021700725,1300,422500
3797002575,1880,605000
5693501100,1560,640000
6758700050,1970,812000
2402100895,1620,640000
2306400010,1120,500000
4310701330,1220,415000
9550200470,1970,690000
9550201495,2120,765000
3797001900,1360,360000
4083802425,2240,608000
1972201305,1250,500000
455000190,2080,825000
3975400190,1960,509000
3797000290,2340,660000
9521101315,1310,600000
2508000020,750,250000
4310703070,2960,650000
3226049530,2010,465000
9482700440,1800,533000
6430500086,940,341000
1972200725,1776,620000
4083301950,1040,580000
4452300130,2000,677000
4310702759,1030,326000
9267200345,1175,342000
6813600440,860,442000
9521100795,1730,569000
625049153,2060,605000
9523102660,1440,560000
6431500122,1580,520000
9523102040,2260,440000
3975400185,1640,645000
3392900080,1990,625000
2919201365,2610,650000
6813600605,3420,1350000
2513500010,990,747000
6430000275,1420,485000
4146800050,1580,563000
2402100715,1410,658500
2331300415,2140,780000
6815100380,1900,855000
480000170,1500,480000
1972200698,1400,474800
6046401300,1310,428000
1923300315,1720,565000
9523100026,3170,748000
1532300155,1080,425000
8129700985,1350,700000
3626039229,700,340000
5511600315,1400,575000
9266700845,830,325000
1931300850,920,427000
3856903515,1460,705000
1646500365,1800,579000
9528105305,3130,1375000
2917200475,760,430000
8032700175,1510,420000
4083302915,1150,599950
3975400085,3330,850000
4083305633,1470,615000
1931300110,1570,700000
4310700778,1860,539950
9465200405,910,412000
2883200760,2440,925000
9550200650,1170,499000
4083303540,2344,791000
6430500219,1230,415000
1930301015,2200,818000
510003085,1980,660000
1994200040,1460,538000
510001400,2870,765000
2883200775,1510,799000
6430000945,1615,665000
3126049517,1540,413450
993002225,1520,405000
3856900590,2100,640000
3226049054,1310,526500
1919800090,2410,625000
9523103590,1480,770000
5694500386,1140,399950
9551202875,2230,900000
1930301220,1530,575000
9523103990,1850,611000
1972201161,670,435000
6430500191,700,315000
6815100085,3100,1001000
9551201560,1410,760000
1825049013,1380,560000
9468200175,1660,635500
1324300018,1140,476000
6865200981,1140,517000
1972202023,1820,504500
4083302225,2550,850000
3362400650,2420,820000
9136100056,2280,875000
1972200325,1260,530000
1972200382,1010,387000
6431000206,1910,835000
1997200245,1460,540000
993002177,1380,345000
4340610040,1070,312500
1048000160,1200,504200
1972200554,1480,580000
306000565,1020,290000
3362400125,1060,405000
1972200326,1300,562000
6749700004,840,291000
4310702918,1110,345000
1048000060,1240,543000
4083306045,3330,1375000
5695000270,1570,660000
9523100731,1620,580000
5676000004,1430,399000
4310702858,1570,414950
1972201963,1420,523950
993000136,1540,449950
9267200226,1770,436110
263000253,1550,380000
8032700075,1690,622000
9551201240,2800,1465000
1972200553,1650,619000
3362400432,1650,547500
9524100207,690,245000
3126049446,1130,343000
8032700110,1480,650000
2883200524,1570,635000
5693500846,1370,667000
8129700728,1780,660000
4083306552,1460,602000
993000307,1270,360000
3362400094,1540,550000
1972201964,1420,500000
6749700006,1090,306000
1972200426,1310,525000
8129700743,1780,672000
263000255,1540,375000
6430500182,3330,1205000
9523100730,1620,580000
3362401758,1420,467000
1972202187,1870,565000
1972200556,1630,609000
1972200847,1730,625000
993001914,1250,344000
3126049501,1360,385000
293670040,1170,482500
993000315,1380,379000
4310702837,1370,375000
4310703083,1220,355000
1931300308,1210,500000
1972201773,1500,670000
4083306553,1390,560000
2919700107,1280,319950
1972200259,1150,425000
625049359,1300,515000
4310701421,1260,350000
6749700002,1340,376000
3126049500,1360,359000
1931300977,1410,500000
1646500810,1460,625000
1972200428,1400,563500
9524100196,680,239000
5541300135,2610,674600
4083306616,960,450000
993002108,1140,399995
993000327,1270,369950
1257201420,3730,595000
9524100322,1140,375000
3362400092,1540,565000
6749700063,1230,356000
993000308,1270,401000
5695000142,1100,420000
9267200062,1260,336000
8032700072,1320,580000
993001563,1280,355000
2919700109,1280,350000
1972201772,1470,650000
263000006,1530,375000
1972200728,1909,630500
5693501028,1300,610000
1972201511,1770,671500
5694500840,1650,559000
3362401763,1020,441750
9521100029,1660,716000
4083300098,1160,453000
5694500497,1300,539900
9402800005,3530,1500000
263000009,1440,375000
9266700190,390,245000
993001976,1250,344000
3797001702,2920,1065000
6431000748,1290,331000
9521100301,820,339950
3126049498,1360,370000
9521100214,1420,455000
5693501102,1560,598500
993001961,1390,374950
9523100712,1430,485000
5676000008,1420,410000
4310702838,1290,375000
6431000749,1340,349000
3362401761,1020,450000
3226049565,2360,504600
5694000706,1320,535000
6431000987,1630,385000
1972200555,1630,610000
9468200109,4360,1555000
9521100866,1380,482000
9521100867,1380,475000
1972200227,1160,459000
9521100031,1540,690000
1931300090,1680,610950
1931300412,1190,475000
1972201967,1530,520000
263000018,1530,360000
